IRO_INSTITUTION,PERSON_UID,ID_NUMBER,AGE,CITIZENSHIP_DESC,ETHNICITY,ETHNICITY_DESC,IS_WHITE,GENDER,IS_NON_BINARY,HAWAIIAN_IRO,DEGREE,DEPARTMENT,EDLVL_IRO,FT_PT_STAT,MAJOR_IRO,MAJOR_DESC_IRO,PROGRAM,PROGRAM_DESC
WOA,1689526,23371667,24,US Citizen,FI,Filipino,0,M,1,N,BA,ACMW,SR,FT,CM,Creative Media,BA-CM-DM,BA-Creative Media-DM
MAN,1914053,25643325,20,US National or CFAS Citizen,MP,Mixed Pacific Islander,0,F,1,N,BS,CHEM,JR,FT,CHEM,Chemistry,CHEM-BS,Chemistry-BS
MAN,1896704,25473082,20,US Citizen,VI,Vietnamese,0,M,1,N,BS,SLSC,JR,FT,BIOL,Biology,BIOL-BS,Biology-BS
MAN,1901168,25517773,20,US Citizen,CH,Chinese,0,F,1,N,BS,ME,JR,FT,ME,Mechanical Engineering,ME-BS,Mechanical Engineering-BS
MAN,1903517,25541263,19,US Citizen,MX,Mixed Race (2 or more),0,M,1,N,BS,ICS,JR,PT,CSCI,Computer Science,CSCI-BS,Computer Science-BS
WOA,1912153,25624747,23,US Citizen,FI,Filipino,0,F,1,N,BA,ACMW,SR,FT,CM,Creative Media,BA-CM-DM,BA-Creative Media-DM
MAN,1933185,25831819,21,US Citizen,JP,Japanese,0,M,1,N,BS,CEE,JR,FT,CE,Civil Engineering,CE-BS,Civil Engineering-BS
MAN,1933279,25832919,20,US Citizen,MX,Mixed Race (2 or more),0,F,1,N,BS,CEE,SR,FT,CE,Civil Engineering,CE-BS,Civil Engineering-BS
MAN,1931148,25811544,19,US Citizen,CH,Chinese,0,M,1,N,BS,CHEM,SR,FT,BIOC,Biochemistry,BIOC-BS,Biochemistry-BS
HIL,2093411,27447775,22,US Citizen,MX,Mixed Race (2 or more),0,F,1,N,BA,BIOL,SR,FT,BIOL,Biology,BA-BIOL1,Biology-BA
